Country;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Austria;22,5;21,9;22,2;22,5;22,8;21,8;22,2;22,5;22,8;23;23,2;23,4;21,2;21,4
Belgium;34,7;34,7;34,7;34,9;35,2;34,8;35,5;35,5;35,5;35,2;35,2;35,1;34,5;34,2
Czech Republic;14,4;14,8;14,6;15,6;14,8;14,8;14,9;15,3;15,2;15,2;15,3;15,5;15,6;15,9
Denmark;39,7;39,5;39,7;40;40;38,9;42,9;43,2;43,4;42,6;41,9;42,1;42;41,8
Estonia;22,8;20,8;20;19,6;18,7;18,3;18,2;18,3;18,4;18,7;18,8;18;17,9;17,9
Finland;32,2;32,1;31;30,9;31,2;29,8;29,5;29,4;29;29,6;29,7;29,7;29,4;28,4
France;20;20;20,1;20;20,1;19,9;20,3;20,5;20,7;20,8;20,8;20,9;20,9;21
Germany;30,6;28,8;28,8;29,1;29,3;28,7;27,1;27,5;27,7;27,6;27,6;27,8;27,7;27,6
Greece;10;10;11,1;11,7;11;11,3;14,4;17,2;16,8;18,4;18,7;16,8;17;17
Hungary;29,4;28,1;27,6;27,5;28,1;27,6;22,8;20,3;18,1;16;16;16;15;15
Ireland;27,6;27,7;26,5;24,8;24,6;25,9;26;27,8;28,8;28,7;29;28,1;27,3;27,3
Italy;25,2;24,8;25,6;26;26,8;27,1;27,7;28,3;28,5;28,7;29,2;29,9;29,9;29,7
Luxembourg;22;22,4;22,8;23,3;23,1;22,3;22,6;23,6;23,9;25,2;25,5;25,7;25,8;24,9
Netherlands;24,7;25;25,6;27,3;27,7;28,7;28,4;28,6;29;28,1;28,5;28,9;27,6;28,1
Norway;30;28,7;27,6;28,1;28,1;27,5;27,9;28;27,8;27,8;26,9;26,8;26,3;25,9
Poland;7,4;7,5;7,9;7,8;8,7;7,5;7,5;7,6;7,7;7,7;7,8;7,8;7,8;7,9
Portugal;18,1;17,6;18,1;19;19;18,9;18,5;20,4;19,2;24,2;23,9;24,7;23,6;23,1
Slovakia;11,7;11,7;11,9;12;12,3;11,4;11,6;12,3;12,3;12,2;12,3;12,4;12,5;12,7
Slovenia;19,1;18,8;18,7;16,3;16,7;16,5;17;17,2;17;15,4;15,6;15,8;15,3;15,6
Spain;18,7;18,8;19,1;19,1;18,5;19,1;20,6;21;22,5;22,5;22,5;21,1;20,9;20,5
Sweden;35,3;35,3;35,2;33,2;32,8;31;30,9;30,8;30,5;30,6;30,4;30,4;31,5;31,6
United Kingdom;24;24,1;24,2;24,5;23,2;22,2;22,4;22,4;22,6;22,6;22,3;22,4;22,6;22,3
